month,trading_days,days_with_pnl,net_pnl_sum,avg_pnl_per_day,avg_trades_per_day,green_days,red_days,best_day_pnl,worst_day_pnl,era
2025-11,8,8,12588.01,1573.50,8.6,7,1,8210.00,-8568.38,narrative-lowfreq
2025-12,22,16,2969.00,185.56,11.0,10,6,11547.00,-16290.00,narrative-lowfreq
2026-01,20,17,-4622.86,-271.93,8.3,9,8,4535.60,-5247.47,narrative-lowfreq
2026-02,19,14,-1029.53,-73.54,7.3,8,6,2161.49,-3171.04,narrative-lowfreq
2026-03,22,16,4090.22,255.64,12.2,10,6,2420.25,-2112.82,transition
2026-04,20,20,19463.93,973.20,54.9,14,6,7043.91,-5946.26,highfreq
2026-05,20,20,34041.07,1702.05,69.5,14,6,10257.65,-4086.68,highfreq
2026-06,13,13,88835.58,6833.51,66.6,12,1,50495.33,-1692.00,highfreq-quant
